tid,name,weight,field_title,field_x_label,field_y_label,field_insight,field_pmt_insight,field_insight2,field_information,field_paragraph
170041,scCost3,41,,Functional expenses as % of GDP,,,,,,
170042,scCost4,42,,Cost as % of GDP,Schemes,,,,,"<p>An alternative approach is to raise government revenues by increasing income and corporate taxes. In <strong>[[country]]</strong> the highest personal income tax bracket is taxed <strong>[[20052_labelIdValue]] per cent</strong> of their gross income and capital gains, and corporate tax rate is <strong>[[20053_labelIdValue]] per cent</strong> of gross profits and capital gains. The total cost of the scheme(s) as percentage of tax revenue from income, profits and capital gains is <strong>[[20054_labelIdValue]] per cent</strong>. This illustrates how much more additional tax revenue government would need to raise to fully fund the initial levels of investments. Alternatively, raising income and corporate taxes along with ensuring tax compliance can help with resource mobilization and decrease the cost of the programme as a share of government revenue.</p>"
170043,scCoverage0,43,Coverage (Total Deciles) of Schemes (share of whole population),Coverage (Total Deciles),Schemes,"<p>The scheme(s) would provide coverage in <b>Scenario A</b> by <b>[[s1_value]]%</b> of the whole population and <b>Scenario B</b> by <b>[[s2_value]]%</b> of the whole population.</p>
<p>Universal schemes ensure that all eligible people are covered. This leads to majority of households benefiting.</p>",,,,
170044,scCoverage1,44,,Coverage (%),Deciles,"Simulated coverage of direct and indirect recipients among national population, by consumption expenditure deciles and Scenarios",,,,
170045,scCoverage2,45,,Coverage (%),Household Type,"Simulated coverage of direct and indirect recipients among national population, by household structure and Scenarios",,,,
170046,scCoverage3,46,,,,,,,,
170047,scExpenditure0,47,"Change in Household Expenditure (per capita, %) (Lowest Deciles)",Increase in per capita,Schemes,"Among recipient households, expenditure per capita can increase by <b>[[s1_value]]%</b> in <b>[[s1_country]] (Scenario A)</b> for poorest households. The increase is <b>[[s2_value]]%</b> in <b>[[s2_country]] (Scenario B)</b>.",,,,
170048,scExpenditure1,48,,Increase in per capita,Deciles,"Simulated increase in household consumption expenditure among national population, by consumption expenditure deciles and Scenarios",,,,
170049,scExpenditure2,49,,Increase in per capita,Deciles,"Simulated increase in household consumption expenditure among recipients, by consumption expenditure deciles and Scenarios",,,,
170050,scExpenditure3,50,,Increase in per capita,Household type,,,,,
